id_diagnostico,codigo_cie10,diagnostico,capitulo_cie10,tiene_diagnostico
231,E890,HIPOTIROIDISMO CONSECUTIVO A PROCEDIMIENTOS,"Enf. endocrinas, nutricionales y metabólicas",1
232,F801,TRASTORNO DEL LENGUAJE EXPRESIVO,Trastornos mentales y del comportamiento,1
233,X430,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO: VIVIENDA",Otro (capítulo X),1
234,Z038,OBSERVACION POR SOSPECHA DE OTRAS ENFERMEDADES Y AFECCIONES,Factores que influyen en el estado de salud,1
235,NO REPORTADO,DIABETES INSIPIDA,Enfermedades del sistema genitourinario,1
236,D820,SINDROME DE WISKOTT-ALDRICH,Neoplasias benignas / Enf. de la sangre,1
237,F310,"TRASTORNO AFECTIVO BIPOLAR, EPISODIO HIPOMANIACO PRESENTE",Trastornos mentales y del comportamiento,1
238,M329,NEFRITIS LUPICA,Enfermedades del sistema musculoesquelético,1
239,D332,"TUMOR BENIGNO DE ENCEFALO, PARTE NO ESPECIFICADA",Neoplasias benignas / Enf. de la sangre,1
240,E240,ENFERMEDAD DE CUSHING DEPENDIENTE DE LA HIPOFISIS,"Enf. endocrinas, nutricionales y metabólicas",1
241,B16,HEPATITIS AGUDA TIPO B,Enfermedades infecciosas y parasitarias,1
242,F510,INSOMNIO NO ORGANICO,Trastornos mentales y del comportamiento,1
